"","minute","time","trial","team","X","process_effort_s","process_skill_use_s","process_workload_burnt","comms_total_words","comms_equity","triage_count","team_score","elapsed_ms","team_score_agg","critic_victim","noncritic_victim","BLUE_anger","BLUE_marking_skill","BLUE_mission_knowledge","BLUE_role","BLUE_anxiety","BLUE_gaming_experience","BLUE_sbsod","BLUE_rmie","BLUE_walking_skill","BLUE_transporting_skill","RED_anger","RED_marking_skill","RED_mission_knowledge","RED_role","RED_anxiety","RED_gaming_experience","RED_sbsod","RED_rmie","RED_walking_skill","RED_transporting_skill","GREEN_anger","GREEN_marking_skill","GREEN_mission_knowledge","GREEN_role","GREEN_anxiety","GREEN_gaming_experience","GREEN_sbsod","GREEN_rmie","GREEN_walking_skill","GREEN_transporting_skill","team_marking_skill_sd","team_rmie_mean","team_transporting_skill_sd","team_anger_sd","team_gaming_experience_sd","team_walking_skill_mean","team_transporting_skill_mean","team_mission_knowledge_mean","team_rmie_sd","team_anger_mean","team_sbsod_mean","team_sbsod_sd","team_gaming_experience_mean","team_mission_knowledge_sd","team_anxiety_mean","team_anxiety_sd","team_walking_skill_sd","team_marking_skill_mean","Blue","Green","Red","time.1","filename","study","condition.id","condition.agent.name","map.order","red_triage_time","red_idle_time","red_transport_time","red_walking_time","red_functional_delay","green_idle_time","green_transport_time","green_walking_time","green_functional_delay","blue_hammer_time","blue_idle_time","blue_transport_time","blue_walking_time","blue_functional_delay","concurrent_activity_time","concurrent_idle_time","red_score","green_score","blue_score","total_score","saved_type_A_victim","saved_type_B_victim","saved_type_C_victim","Trial_number","Team_number","team_functional_delay","team_idle_time","mission","lagcomms","diffcomms","cumidle","cumactive","cumdelay","cumeffort","cumskilluse","cumstrategy"
"1961",14,"00:14:00","T000779","TM000290",14,25.9333333333333,16.2466666666667,0.00645866666666667,1096.66666666667,108,0.333333333333333,20,893613,510,0,20,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:14:03.370000000","HSRData_TrialMessages_Trial-T000779_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",6050,9462,20552,23936,0,1939,36557,21504,0,7050,13279,0,39671,0,28942,2,0,30,0,30,2,1,0,"T000779","TM000290",0,24680,1,1030.33333333333,66.3333333333335,17375,253532,55816,265.9,145.075,0.0849051
"1962",15,"00:15:00","T000779","TM000290",15,22.9666666666667,14.53,0.011615,1179,126.666666666667,0.333333333333333,50,953876,560,1,0,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:15:03.698000000","HSRData_TrialMessages_Trial-T000779_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",6000,11836,18153,24011,4489,14472,11484,34044,0,1098,23685,0,35217,0,16475,6387,0,50,0,50,0,0,1,"T000779","TM000290",4489,49993,1,1096.66666666667,82.3333333333333,23762,270007,60305,288.866666666667,159.605,0.0965201
"1963",16,"00:16:00","T000779","TM000290",16,29.16,18.64,0.0096802,1235.6,141,0.2,10,1004039,570,0,10,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:16:03.900000000","HSRData_TrialMessages_Trial-T000779_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",5370,7876,7853,38901,0,1325,2552,56123,0,6553,9985,0,43462,0,34400,2763,0,10,0,10,1,0,0,"T000779","TM000290",0,19186,1,1179,56.5999999999999,26525,304407,60305,318.026666666667,178.245,0.1062003
"1964",4,"00:04:00","T000780","TM000290",4,27.2333333333333,15.4716666666667,0.0036305,252.166666666667,99.8166666666667,0,70,291295,80,1,20,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:04:01.163000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",0,7071,0,52929,0,3391,25606,31003,0,2649,7699,21832,27820,0,38886,0,0,60,10,70,1,1,1,"T000780","TM000290",0,18161,2,233.166666666667,19,0,38886,0,27.2333333333333,15.4716666666667,0.0036305
"1965",5,"00:05:00","T000780","TM000290",5,25.2666666666667,12.805,0.00698166666666667,297.833333333333,103.95,0.333333333333333,10,351549,90,0,10,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:05:01.332000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",6004,10598,16561,26837,0,11716,0,48284,0,6992,14700,7048,31260,0,17302,104,10,0,0,10,1,0,0,"T000780","TM000290",0,37014,2,252.166666666667,45.6666666666667,104,56188,0,52.5,28.2766666666667,0.0106121666666667
"1966",6,"00:06:00","T000780","TM000290",6,24.45,17.115,0.00850233333333333,330,113.5,0.5,150,411805,240,3,0,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:06:01.624000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",9203,3844,23051,23902,0,4283,18311,37406,0,0,27219,25076,7705,0,28796,1931,0,100,0,100,0,0,2,"T000780","TM000290",0,35346,2,297.833333333333,32.1666666666667,2035,84984,0,76.95,45.3916666666667,0.0191145
"1967",7,"00:07:00","T000780","TM000290",7,26.55,13.5516666666667,0.00846783333333333,346.333333333333,117,0.333333333333333,10,472137,250,0,10,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:07:01.848000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",5724,10073,5400,38803,38175,1539,15025,43436,0,4479,9168,632,45721,0,33395,0,0,10,50,60,0,1,1,"T000780","TM000290",38175,20780,2,330,16.3333333333333,2035,118379,38175,103.5,58.9433333333333,0.0275823333333333
"1968",8,"00:08:00","T000780","TM000290",8,24.9833333333333,19.2833333333333,0.011883,355,119.666666666667,0.333333333333333,80,532376,330,1,30,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:08:02.206000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",6276,8529,31626,13569,0,11624,10030,38346,0,5430,17322,13357,23891,0,17744,627,50,10,10,70,0,2,1,"T000780","TM000290",0,37475,2,346.333333333333,8.66666666666674,2662,136123,38175,128.483333333333,78.2266666666667,0.0394653333333333
"1969",9,"00:09:00","T000780","TM000290",9,24.4,14.87,0.008415,387.833333333333,129.833333333333,0.333333333333333,0,592615,330,0,0,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:09:02.437000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",7000,6138,9634,37228,0,14534,11974,33492,0,901,9745,12102,37252,0,24651,1023,10,0,0,10,1,0,0,"T000780","TM000290",0,30417,2,355,32.8333333333333,3685,160774,38175,152.883333333333,93.0966666666667,0.0478803333333333
"1970",10,"00:10:00","T000780","TM000290",10,26.1833333333333,16.6366666666667,0.0129335,439,142.833333333333,0.333333333333333,70,652833,400,1,20,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:10:02.653000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",6000,8096,11212,34692,0,11771,25230,22999,0,1650,10553,14423,33374,0,25707,1940,20,50,0,70,1,1,1,"T000780","TM000290",0,30420,2,387.833333333333,51.1666666666667,5625,186481,38175,179.066666666667,109.733333333333,0.0608138333333333
"1971",11,"00:11:00","T000780","TM000290",11,24.5333333333333,20.1666666666667,0.0084515,501,159.166666666667,0.166666666666667,10,713079,410,0,10,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:11:02.914000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",3050,17946,2001,37003,55796,6507,5100,48393,0,851,1964,55048,2137,0,28382,100,0,10,0,10,1,0,0,"T000780","TM000290",55796,26417,2,439,62,5725,214863,93971,203.6,129.9,0.0692653333333333
"1972",12,"00:12:00","T000780","TM000290",12,20.6166666666667,7.58833333333333,0.00342126666666667,601.666666666667,186,0.333333333333333,50,773413,460,1,0,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:12:03.130000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",6600,20299,6074,27027,34606,7773,10545,41682,0,4602,14661,10579,30158,0,20676,3519,0,50,0,50,0,1,1,"T000780","TM000290",34606,42733,2,501,100.666666666667,9244,235539,128577,224.216666666667,137.488333333333,0.0726866
"1973",13,"00:13:00","T000780","TM000290",13,27.1833333333333,13.3266666666667,0.00602216666666667,654.666666666667,201.666666666667,0.333333333333333,70,833541,530,1,20,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:13:03.423000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",6000,3214,26280,24506,1259,5784,9506,44710,0,0,5114,25227,29659,0,38863,0,10,50,10,70,1,1,1,"T000780","TM000290",1259,14112,2,601.666666666667,53,9244,274402,129836,251.4,150.815,0.0787087666666667
"1974",14,"00:14:00","T000780","TM000290",14,26.5333333333333,7.17,0.00448433333333333,696.333333333333,216,0.166666666666667,50,893772,580,1,0,1,3.87,130,"Engineering_Specialist",1,4.5,5.6,0.667,0.26,3.52,1,2.3,140,"Medical_Specialist",1.5,4.5,4.8,0.722,0.196,2.88,1,3.73,130,"Transport_Specialist",1,5,6,0.917,0.162,3.88,0.711,0.769,0.41,0,0.236,0.206,3.43,133,0.107,1,5.47,0.499,4.67,4.71,1.17,0.236,0.0406,3.3,"E001067","E001082","E001081","0 days 00:14:03.598000000","HSRData_TrialMessages_Trial-T000780_Team-TM000290_Member-na_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.metadata","asist3",5,"DOLL","C-D",3000,6509,0,50491,10764,6146,17252,36602,0,0,3391,0,56609,0,45991,118,0,50,0,50,0,0,1,"T000780","TM000290",10764,16046,2,654.666666666667,41.6666666666669,9362,320393,140600,277.933333333333,157.985,0.0831931
